video_id,video_title,channel_id,channel_name,subscriber_count,publish_date,video_url,duration,view_count,like_count,comment_count,tags,category,thumbnail_url,keyword,collection_date,duration_seconds,duration_category,day_cleaned,month_cleaned,year_cleaned
Lvk_VZOppIY,Codex for data science,UCXZCJLdBC09xxGZ6gcdrc6A,OpenAI,2010000,2026-06-09T21:30:13Z,https://www.youtube.com/watch?v=Lvk_VZOppIY,00:01:41,39674,1011,0,Codex|OpenAI Codex|ChatGPT Codex|Codex plugins|data analytics plugin|AI for data analytics|AI for analysts|data analysis|business intelligence|BI|decision-ready insights|insight reports|data storytelling|Databricks|data workflows|analytics workflows|business questions|data-driven decisions|reporting automation|team productivity|data analysts|operators|marketers|researchers|investors|bankers|agentic workflows|AI for every role|OpenAI|ChatGPT,Science & Technology,https://i.ytimg.com/vi/Lvk_VZOppIY/hqdefault.jpg,data analyst,2026-08-11,101,Very Short Video (Less than 5 minutes),9,6,2026
en0keLV-xcE,Tier-3 City Girl Lands International Data Analyst Job | Geetanjali's Inspiring Success Story,UCRDhrUdd9yoVoFFQqadR4FQ,Satish Dhawale,357000,2026-06-12T12:30:08Z,https://www.youtube.com/watch?v=en0keLV-xcE,00:31:19,37970,1428,89,data analyst|data analyst roadmap|data analytics|Data Analyst|Data Analytics|Data Analyst Roadmap|Data Analyst Interview|Data Analyst Salary|SQL Tutorial|Power BI Tutorial|Excel for Data Analysis|Data Analytics Career|Data Analyst Jobs|Resume Building|Data Analytics Projects|SQL Interview Questions|Power BI Dashboard|Data Analyst Success Story|Internship Experience|Job Preparation|Analytics Career|Data Science Career|Job Search Tips|satish dhawale,People & Blogs,https://i.ytimg.com/vi/en0keLV-xcE/hqdefault.jpg,data analyst,2026-08-11,1879,Medium Video (30-60 minutes),12,6,2026
2DKGgfmoyrI,"Sab Data Analyst Ban Rahe Hain, Phir Kya Fayda?",UCRwbbVXllzeAfVJMxqTXV_w,Unfiltered data analytics ,3200,2026-06-05T04:30:22Z,https://www.youtube.com/watch?v=2DKGgfmoyrI,00:12:46,34458,1293,252,Data Analytics|Data Analyst|Data Analytics Career|Data Analyst Jobs|Data Analytics Jobs|Data Science|Business Analytics|Data Analytics Course|Data Analytics Salary|Data Analyst Career,Education,https://i.ytimg.com/vi/2DKGgfmoyrI/hqdefault.jpg,data analyst,2026-08-11,766,Short Video (5-30 minutes),5,6,2026
dNobKWB0rWs,Queen Of Data Analytics  #earners #physicswallah,UCDkox5NLaLtrYssKumtfzNA,Earners LAPTOP,57100,2026-06-09T07:59:24Z,https://www.youtube.com/watch?v=dNobKWB0rWs,00:00:27,34003,1169,78,,People & Blogs,https://i.ytimg.com/vi/dNobKWB0rWs/hqdefault.jpg,data analyst,2026-08-11,27,Very Short Video (Less than 5 minutes),9,6,2026
XwzCgZRBwx4,Data Analytics Mock Interview for Freshers 2026 | Full Session with Answers.,UCw1Q0aT35kqqHsrIjmd-vhQ,Skillcure Academy,11100,2026-06-08T08:22:44Z,https://www.youtube.com/watch?v=XwzCgZRBwx4,00:17:55,32873,742,61,Skillcure Academy|Data Analytics Course|Data Science Course|courses|IT courses|Digital Marketing Course|Graphic Design Course|SAP FICO Training|SAP MM Training|Python for Data Science|Data Analytics Training in Noida|Data Science Training in Noida,Education,https://i.ytimg.com/vi/XwzCgZRBwx4/hqdefault.jpg,data analyst,2026-08-11,1075,Short Video (5-30 minutes),8,6,2026
zhCAJr0rxkk,Data Analytics With Ai Course || 1st Lecture FREE ON YOUTUBE || Earners Laptop,UCDkox5NLaLtrYssKumtfzNA,Earners LAPTOP,57100,2026-06-20T11:30:04Z,https://www.youtube.com/watch?v=zhCAJr0rxkk,01:49:21,32588,822,187,data analytics|data analytics course|data analytics with ai|ai data analytics|data analyst course|learn data analytics|artificial intelligence|power bi tutorial|sql for beginners|excel for data analytics|data analyst roadmap|data analyst career|earners laptop|data science course|ai tools|future skills|high income skills|data analyst|power bi|sql|excel|ai course|online course|career growth|tech skills|data science|physics wallah|pw earners,Education,https://i.ytimg.com/vi/zhCAJr0rxkk/hqdefault.jpg,data analyst,2026-08-11,6561,Long Video (1 hour or more),20,6,2026
Hh4EoUqiPfw,Data Analytics Mock Interview 2026 | SQL Interview Questions & Answers for Freshers.,UCw1Q0aT35kqqHsrIjmd-vhQ,Skillcure Academy,11100,2026-06-15T02:30:38Z,https://www.youtube.com/watch?v=Hh4EoUqiPfw,00:27:17,31921,576,48,Skillcure Academy|Data Analytics Course|Data Science Course|courses|IT courses|Digital Marketing Course|Graphic Design Course|SAP FICO Training|SAP MM Training|Python for Data Science|Data Analytics Training in Noida|Data Science Training in Noida,Education,https://i.ytimg.com/vi/Hh4EoUqiPfw/hqdefault.jpg,data analyst,2026-08-11,1637,Short Video (5-30 minutes),15,6,2026
aUTfF62Pdlw,"Data Analyst Full Guide 2026 (FREE) | Skills, SQL, Power BI, Portfolio & AI #dataanalyst #analytics",UCVhGOdcKjJQZFq7EpcVFYrw,Sarven N,6570,2026-06-16T12:30:31Z,https://www.youtube.com/watch?v=aUTfF62Pdlw,00:10:04,31162,1259,176,data analyst|data analyst roadmap 2026|how to become a data analyst|data analyst full guide|data analytics|data analytics roadmap|data analyst skills|data analyst career|data analytics career|data analyst course|data analyst roadmap for beginners|data analyst roadmap 2026 for freshers|how to become a data analyst in 2026|data analyst without experience|data analyst projects|data analyst portfolio|sql for data analyst|power bi for data analyst,Education,https://i.ytimg.com/vi/aUTfF62Pdlw/hqdefault.jpg,data analyst,2026-08-11,604,Short Video (5-30 minutes),16,6,2026
_pfXEE15u6Y,Data Analyst Career in 2026: The Truth No One Tells You | Ft. Satish Dhawale,UCqthnyniZheHyw_r8s_qoDQ,Rajat jain,18200,2026-06-30T15:30:06Z,https://www.youtube.com/watch?v=_pfXEE15u6Y,00:31:18,30037,885,125,data analyst|rajat jain|power bi|sql|data analytics|how to become data analyst|data analyst career|data analyst jobs|data analytics career|data analyst roadmap|excel|power bi tutorial|data analyst interview|data analyst 2026|data analytics 2026|ai for data analysts|career switch|power query|dax|microsoft fabric|linkedin optimization|ats resume|satish dhawale|business intelligence|sql tutorial|power bi interview questions|data analyst course,Education,https://i.ytimg.com/vi/_pfXEE15u6Y/hqdefault.jpg,data analyst,2026-08-11,1878,Medium Video (30-60 minutes),30,6,2026
Uh_pFjNfdL8,Python ഉപയോഗിച്ച് Data Analytics പഠിക്കാം | തുടക്കക്കാർക്കുള്ള Complete Guide,UC7OtUZuGeKcsXkdiP_ETXDg,Entri Coding മലയാളം ,58600,2026-06-03T11:30:13Z,https://www.youtube.com/watch?v=Uh_pFjNfdL8,01:01:11,28620,511,24,python for data analytics|data analytics with python|python tutorial|data analyst roadmap|data science|pandas tutorial|numpy tutorial|python for beginners|data visualization|analytics course|python projects|data science jobs|learn python|data analytics course|data science jobs for freshers|python malayalam tutorial|data analyst|entri coding|coding malayalam|coding tutorial|data science roadmap|cyber security,Entertainment,https://i.ytimg.com/vi/Uh_pFjNfdL8/hqdefault.jpg,data analyst,2026-08-11,3671,Long Video (1 hour or more),3,6,2026
